Marketing automation tools;Do you want to use a tool like Marketo for our inbound marketing campaigns?
Positioning map;I have been working on a positioning map, attached. What do you think?;Marketing (events)- cd24022d4b57b159cf9fa462af9a_Content.jpg
Competitive analysis of satellite industry;I have outlined some of our competitors from a 2009 report from Gartner. Some of the information is a little old, but there is some good content in here.;Marketing- space.jpg
New pamphlet for Ancillary Microwave Products;Check out the new outbound marketing materials for this product division. I have tried to use photoshop.;Marketing- space.jpg
Online videos of our Facility;How do you guys feel about letting the outside world know what we do on a day to day basis? I think the visibility might help us with getting new clients.;Marketing (events)- cd24022d4b57b159cf9fa462af9a_Content.jpg
Marketing automation tools;Do you want to use a tool like Marketo for our inbound marketing campaigns?;sales-marketing-dashboard.png
Positioning map for product XYZ;I have been working on a positioning map, attached. What do you think?;Marketing- COM_DEV_International_Ltd._logo.jpg
Competitive analysis of space industry;I have outlined some of our competitors from a 2008 report from Gartner. Some of the information is a little old, but there is some good content in here.;Marketing- COM_DEV_International_Ltd._logo.jpg
Old pamphlet for Ancillary Microwave Products;Check out the new outbound marketing materials for this product division. I have tried to use photoshop.;Marketing- 1.jpeg
Online videos of our new product line;How do you guys feel about letting the outside world know what we are doing with our own product line? I think the visibility might help us with getting new clients.;Marketing- 1.jpeg
